scenario,chemistry,year,value
MIX,NCA,2010,0.1
MIX,NMC111,2010,0.3
MIX,NMC532,2010,0.38
MIX,NMC622,2010,0
MIX,NMC811,2010,0
MIX,NMC900,2010,0
MIX,NMC900-Si,2010,0
MIX,LFP,2010,0.22
MIX,SIB,2010,0
MIX,ASSB (polymer),2010,0
MIX,ASSB (oxidic),2010,0
MIX,ASSB (sulfidic),2010,0
MIX,LSB,2010,0
MIX,LAB,2010,0
MIX,NCA,2015,0.2
MIX,NMC111,2015,0.2
MIX,NMC532,2015,0.25
MIX,NMC622,2015,0.11
MIX,NMC811,2015,0.03
MIX,NMC900,2015,0
MIX,NMC900-Si,2015,0
MIX,LFP,2015,0.21
MIX,SIB,2015,0
MIX,ASSB (polymer),2015,0
MIX,ASSB (oxidic),2015,0
MIX,ASSB (sulfidic),2015,0
MIX,LSB,2015,0
MIX,LAB,2015,0
MIX,NCA,2021,0.210
MIX,NCA,2022,0.188
MIX,NCA,2023,0.166
MIX,NCA,2024,0.144
MIX,NCA,2025,0.121
MIX,NCA,2026,0.105
MIX,NCA,2027,0.089
MIX,NCA,2028,0.072
MIX,NCA,2029,0.056
MIX,NCA,2030,0.040
MIX,NCA,2031,0.036
MIX,NCA,2032,0.032
MIX,NCA,2033,0.028
MIX,NCA,2034,0.024
MIX,NCA,2035,0.020
MIX,NCA,2036,0.018
MIX,NCA,2037,0.016
MIX,NCA,2038,0.014
MIX,NCA,2039,0.012
MIX,NCA,2040,0.010
MIX,NMC532,2021,0.170
MIX,NMC532,2022,0.139
MIX,NMC532,2023,0.110
MIX,NMC532,2024,0.084
MIX,NMC532,2025,0.059
MIX,NMC532,2026,0.053
MIX,NMC532,2027,0.048
MIX,NMC532,2028,0.043
MIX,NMC532,2029,0.039
MIX,NMC532,2030,0.034
MIX,NMC532,2031,0.027
MIX,NMC532,2032,0.020
MIX,NMC532,2033,0.014
MIX,NMC532,2034,0.009
MIX,NMC532,2035,0.004
MIX,NMC532,2036,0.004
MIX,NMC532,2037,0.003
MIX,NMC532,2038,0.003
MIX,NMC532,2039,0.002
MIX,NMC532,2040,0.002
MIX,NMC622,2021,0.170
MIX,NMC622,2022,0.151
MIX,NMC622,2023,0.131
MIX,NMC622,2024,0.108
MIX,NMC622,2025,0.083
MIX,NMC622,2026,0.082
MIX,NMC622,2027,0.081
MIX,NMC622,2028,0.079
MIX,NMC622,2029,0.078
MIX,NMC622,2030,0.076
MIX,NMC622,2031,0.065
MIX,NMC622,2032,0.054
MIX,NMC622,2033,0.042
MIX,NMC622,2034,0.030
MIX,NMC622,2035,0.016
MIX,NMC622,2036,0.016
MIX,NMC622,2037,0.017
MIX,NMC622,2038,0.017
MIX,NMC622,2039,0.018
MIX,NMC622,2040,0.018
MIX,NMC811,2021,0.170
MIX,NMC811,2022,0.218
MIX,NMC811,2023,0.266
MIX,NMC811,2024,0.315
MIX,NMC811,2025,0.364
MIX,NMC811,2026,0.371
MIX,NMC811,2027,0.367
MIX,NMC811,2028,0.365
MIX,NMC811,2029,0.363
MIX,NMC811,2030,0.348
MIX,NMC811,2031,0.338
MIX,NMC811,2032,0.326
MIX,NMC811,2033,0.312
MIX,NMC811,2034,0.297
MIX,NMC811,2035,0.279
MIX,NMC811,2036,0.234
MIX,NMC811,2037,0.192
MIX,NMC811,2038,0.155
MIX,NMC811,2039,0.122
MIX,NMC811,2040,0.102
MIX,NMC900,2021,0.000
MIX,NMC900,2022,0.000
MIX,NMC900,2023,0.000
MIX,NMC900,2024,0.000
MIX,NMC900,2025,0.000
MIX,NMC900,2026,0.000
MIX,NMC900,2027,0.011
MIX,NMC900,2028,0.020
MIX,NMC900,2029,0.030
MIX,NMC900,2030,0.040
MIX,NMC900,2031,0.051
MIX,NMC900,2032,0.062
MIX,NMC900,2033,0.075
MIX,NMC900,2034,0.088
MIX,NMC900,2035,0.102
MIX,NMC900,2036,0.104
MIX,NMC900,2037,0.105
MIX,NMC900,2038,0.105
MIX,NMC900,2039,0.103
MIX,NMC900,2040,0.099
MIX,NMC900-Si,2021,0.000
MIX,NMC900-Si,2022,0.000
MIX,NMC900-Si,2023,0.000
MIX,NMC900-Si,2024,0.000
MIX,NMC900-Si,2025,0.000
MIX,NMC900-Si,2026,0.000
MIX,NMC900-Si,2027,0.000
MIX,NMC900-Si,2028,0.000
MIX,NMC900-Si,2029,0.000
MIX,NMC900-Si,2030,0.012
MIX,NMC900-Si,2031,0.026
MIX,NMC900-Si,2032,0.042
MIX,NMC900-Si,2033,0.058
MIX,NMC900-Si,2034,0.075
MIX,NMC900-Si,2035,0.093
MIX,NMC900-Si,2036,0.101
MIX,NMC900-Si,2037,0.106
MIX,NMC900-Si,2038,0.110
MIX,NMC900-Si,2039,0.110
MIX,NMC900-Si,2040,0.099
MIX,LFP,2021,0.280
MIX,LFP,2022,0.301
MIX,LFP,2023,0.322
MIX,LFP,2024,0.343
MIX,LFP,2025,0.364
MIX,LFP,2026,0.367
MIX,LFP,2027,0.370
MIX,LFP,2028,0.373
MIX,LFP,2029,0.377
MIX,LFP,2030,0.380
MIX,LFP,2031,0.361
MIX,LFP,2032,0.341
MIX,LFP,2033,0.322
MIX,LFP,2034,0.302
MIX,LFP,2035,0.283
MIX,LFP,2036,0.282
MIX,LFP,2037,0.282
MIX,LFP,2038,0.281
MIX,LFP,2039,0.281
MIX,LFP,2040,0.280
MIX,SIB,2021,0.000
MIX,SIB,2022,0.000
MIX,SIB,2023,0.000
MIX,SIB,2024,0.001
MIX,SIB,2025,0.002
MIX,SIB,2026,0.007
MIX,SIB,2027,0.014
MIX,SIB,2028,0.023
MIX,SIB,2029,0.035
MIX,SIB,2030,0.035
MIX,SIB,2031,0.038
MIX,SIB,2032,0.043
MIX,SIB,2033,0.047
MIX,SIB,2034,0.053
MIX,SIB,2035,0.055
MIX,SIB,2036,0.060
MIX,SIB,2037,0.065
MIX,SIB,2038,0.069
MIX,SIB,2039,0.074
MIX,SIB,2040,0.078
MIX,ASSB (polymer),2021,0.000
MIX,ASSB (polymer),2022,0.003
MIX,ASSB (polymer),2023,0.005
MIX,ASSB (polymer),2024,0.007
MIX,ASSB (polymer),2025,0.008
MIX,ASSB (polymer),2026,0.016
MIX,ASSB (polymer),2027,0.021
MIX,ASSB (polymer),2028,0.023
MIX,ASSB (polymer),2029,0.023
MIX,ASSB (polymer),2030,0.028
MIX,ASSB (polymer),2031,0.038
MIX,ASSB (polymer),2032,0.043
MIX,ASSB (polymer),2033,0.047
MIX,ASSB (polymer),2034,0.053
MIX,ASSB (polymer),2035,0.055
MIX,ASSB (polymer),2036,0.060
MIX,ASSB (polymer),2037,0.065
MIX,ASSB (polymer),2038,0.069
MIX,ASSB (polymer),2039,0.074
MIX,ASSB (polymer),2040,0.078
MIX,ASSB (oxidic),2021,0.000
MIX,ASSB (oxidic),2022,0.000
MIX,ASSB (oxidic),2023,0.000
MIX,ASSB (oxidic),2024,0.000
MIX,ASSB (oxidic),2025,0.000
MIX,ASSB (oxidic),2026,0.000
MIX,ASSB (oxidic),2027,0.000
MIX,ASSB (oxidic),2028,0.000
MIX,ASSB (oxidic),2029,0.000
MIX,ASSB (oxidic),2030,0.007
MIX,ASSB (oxidic),2031,0.019
MIX,ASSB (oxidic),2032,0.037
MIX,ASSB (oxidic),2033,0.047
MIX,ASSB (oxidic),2034,0.053
MIX,ASSB (oxidic),2035,0.055
MIX,ASSB (oxidic),2036,0.060
MIX,ASSB (oxidic),2037,0.065
MIX,ASSB (oxidic),2038,0.069
MIX,ASSB (oxidic),2039,0.074
MIX,ASSB (oxidic),2040,0.078
MIX,ASSB (sulfidic),2021,0.000
MIX,ASSB (sulfidic),2022,0.000
MIX,ASSB (sulfidic),2023,0.000
MIX,ASSB (sulfidic),2024,0.000
MIX,ASSB (sulfidic),2025,0.000
MIX,ASSB (sulfidic),2026,0.000
MIX,ASSB (sulfidic),2027,0.000
MIX,ASSB (sulfidic),2028,0.000
MIX,ASSB (sulfidic),2029,0.000
MIX,ASSB (sulfidic),2030,0.000
MIX,ASSB (sulfidic),2031,0.000
MIX,ASSB (sulfidic),2032,0.000
MIX,ASSB (sulfidic),2033,0.007
MIX,ASSB (sulfidic),2034,0.018
MIX,ASSB (sulfidic),2035,0.030
MIX,ASSB (sulfidic),2036,0.048
MIX,ASSB (sulfidic),2037,0.065
MIX,ASSB (sulfidic),2038,0.069
MIX,ASSB (sulfidic),2039,0.074
MIX,ASSB (sulfidic),2040,0.078
MIX,LSB,2021,0.000
MIX,LSB,2022,0.000
MIX,LSB,2023,0.000
MIX,LSB,2024,0.000
MIX,LSB,2025,0.000
MIX,LSB,2026,0.000
MIX,LSB,2027,0.000
MIX,LSB,2028,0.000
MIX,LSB,2029,0.000
MIX,LSB,2030,0.000
MIX,LSB,2031,0.000
MIX,LSB,2032,0.000
MIX,LSB,2033,0.000
MIX,LSB,2034,0.000
MIX,LSB,2035,0.006
MIX,LSB,2036,0.012
MIX,LSB,2037,0.019
MIX,LSB,2038,0.028
MIX,LSB,2039,0.039
MIX,LSB,2040,0.051
MIX,LAB,2021,0.000
MIX,LAB,2022,0.000
MIX,LAB,2023,0.000
MIX,LAB,2024,0.000
MIX,LAB,2025,0.000
MIX,LAB,2026,0.000
MIX,LAB,2027,0.000
MIX,LAB,2028,0.000
MIX,LAB,2029,0.000
MIX,LAB,2030,0.000
MIX,LAB,2031,0.000
MIX,LAB,2032,0.000
MIX,LAB,2033,0.000
MIX,LAB,2034,0.000
MIX,LAB,2035,0.000
MIX,LAB,2036,0.000
MIX,LAB,2037,0.000
MIX,LAB,2038,0.009
MIX,LAB,2039,0.018
MIX,LAB,2040,0.027
LFP,NCA,2010,0.1
LFP,NMC111,2010,0.3
LFP,NMC532,2010,0.38
LFP,NMC622,2010,0
LFP,NMC811,2010,0
LFP,NMC900,2010,0
LFP,NMC900-Si,2010,0
LFP,LFP,2010,0.22
LFP,SIB,2010,0
LFP,ASSB (polymer),2010,0
LFP,ASSB (oxidic),2010,0
LFP,ASSB (sulfidic),2010,0
LFP,LSB,2010,0
LFP,LAB,2010,0
LFP,NCA,2015,0.2
LFP,NMC111,2015,0.2
LFP,NMC532,2015,0.25
LFP,NMC622,2015,0.11
LFP,NMC811,2015,0.03
LFP,NMC900,2015,0
LFP,NMC900-Si,2015,0
LFP,LFP,2015,0.21
LFP,SIB,2015,0
LFP,ASSB (polymer),2015,0
LFP,ASSB (oxidic),2015,0
LFP,ASSB (sulfidic),2015,0
LFP,LSB,2015,0
LFP,LAB,2015,0
LFP,NCA,2021,0.21
LFP,NMC532,2021,0.17
LFP,NMC622,2021,0.17
LFP,NMC811,2021,0.17
LFP,NMC900,2021,0
LFP,NMC900-Si,2021,0
LFP,LFP,2021,0.28
LFP,SIB,2021,0
LFP,ASSB (polymer),2021,0
LFP,ASSB (oxidic),2021,0
LFP,ASSB (sulfidic),2021,0
LFP,LSB,2021,0
LFP,LAB,2021,0
LFP,NCA,2022,0.199585327
LFP,NMC532,2022,0.161180223
LFP,NMC622,2022,0.162200957
LFP,NMC811,2022,0.167559809
LFP,NMC900,2022,0.006315789
LFP,NMC900-Si,2022,0.006315789
LFP,LFP,2022,0.296842105
LFP,SIB,2022,0
LFP,ASSB (polymer),2022,0
LFP,ASSB (oxidic),2022,0
LFP,ASSB (sulfidic),2022,0
LFP,LSB,2022,0
LFP,LAB,2022,0
LFP,NCA,2023,0.189170654
LFP,NMC532,2023,0.152360447
LFP,NMC622,2023,0.154401914
LFP,NMC811,2023,0.165119617
LFP,NMC900,2023,0.012631579
LFP,NMC900-Si,2023,0.012631579
LFP,LFP,2023,0.313684211
LFP,SIB,2023,0
LFP,ASSB (polymer),2023,0
LFP,ASSB (oxidic),2023,0
LFP,ASSB (sulfidic),2023,0
LFP,LSB,2023,0
LFP,LAB,2023,0
LFP,NCA,2024,0.178755981
LFP,NMC532,2024,0.14354067
LFP,NMC622,2024,0.146602871
LFP,NMC811,2024,0.162679426
LFP,NMC900,2024,0.018947368
LFP,NMC900-Si,2024,0.018947368
LFP,LFP,2024,0.330526316
LFP,SIB,2024,0
LFP,ASSB (polymer),2024,0
LFP,ASSB (oxidic),2024,0
LFP,ASSB (sulfidic),2024,0
LFP,LSB,2024,0
LFP,LAB,2024,0
LFP,NCA,2025,0.168341308
LFP,NMC532,2025,0.134720893
LFP,NMC622,2025,0.138803828
LFP,NMC811,2025,0.160239234
LFP,NMC900,2025,0.025263158
LFP,NMC900-Si,2025,0.025263158
LFP,LFP,2025,0.347368421
LFP,SIB,2025,0
LFP,ASSB (polymer),2025,0
LFP,ASSB (oxidic),2025,0
LFP,ASSB (sulfidic),2025,0
LFP,LSB,2025,0
LFP,LAB,2025,0
LFP,NCA,2026,0.157926635
LFP,NMC532,2026,0.125901116
LFP,NMC622,2026,0.131004785
LFP,NMC811,2026,0.157799043
LFP,NMC900,2026,0.031578947
LFP,NMC900-Si,2026,0.031578947
LFP,LFP,2026,0.364210526
LFP,SIB,2026,0
LFP,ASSB (polymer),2026,0
LFP,ASSB (oxidic),2026,0
LFP,ASSB (sulfidic),2026,0
LFP,LSB,2026,0
LFP,LAB,2026,0
LFP,NCA,2027,0.147511962
LFP,NMC532,2027,0.11708134
LFP,NMC622,2027,0.123205742
LFP,NMC811,2027,0.155358852
LFP,NMC900,2027,0.037894737
LFP,NMC900-Si,2027,0.037894737
LFP,LFP,2027,0.381052632
LFP,SIB,2027,0
LFP,ASSB (polymer),2027,0
LFP,ASSB (oxidic),2027,0
LFP,ASSB (sulfidic),2027,0
LFP,LSB,2027,0
LFP,LAB,2027,0
LFP,NCA,2028,0.137097289
LFP,NMC532,2028,0.108261563
LFP,NMC622,2028,0.115406699
LFP,NMC811,2028,0.15291866
LFP,NMC900,2028,0.044210526
LFP,NMC900-Si,2028,0.044210526
LFP,LFP,2028,0.397894737
LFP,SIB,2028,0
LFP,ASSB (polymer),2028,0
LFP,ASSB (oxidic),2028,0
LFP,ASSB (sulfidic),2028,0
LFP,LSB,2028,0
LFP,LAB,2028,0
LFP,NCA,2029,0.126682616
LFP,NMC532,2029,0.099441786
LFP,NMC622,2029,0.107607656
LFP,NMC811,2029,0.150478469
LFP,NMC900,2029,0.050526316
LFP,NMC900-Si,2029,0.050526316
LFP,LFP,2029,0.414736842
LFP,SIB,2029,0
LFP,ASSB (polymer),2029,0
LFP,ASSB (oxidic),2029,0
LFP,ASSB (sulfidic),2029,0
LFP,LSB,2029,0
LFP,LAB,2029,0
LFP,NCA,2030,0.116267943
LFP,NMC532,2030,0.09062201
LFP,NMC622,2030,0.099808612
LFP,NMC811,2030,0.148038278
LFP,NMC900,2030,0.056842105
LFP,NMC900-Si,2030,0.056842105
LFP,LFP,2030,0.431578947
LFP,SIB,2030,0
LFP,ASSB (polymer),2030,0
LFP,ASSB (oxidic),2030,0
LFP,ASSB (sulfidic),2030,0
LFP,LSB,2030,0
LFP,LAB,2030,0
LFP,NCA,2031,0.10585327
LFP,NMC532,2031,0.081802233
LFP,NMC622,2031,0.092009569
LFP,NMC811,2031,0.145598086
LFP,NMC900,2031,0.063157895
LFP,NMC900-Si,2031,0.063157895
LFP,LFP,2031,0.448421053
LFP,SIB,2031,0
LFP,ASSB (polymer),2031,0
LFP,ASSB (oxidic),2031,0
LFP,ASSB (sulfidic),2031,0
LFP,LSB,2031,0
LFP,LAB,2031,0
LFP,NCA,2032,0.095438596
LFP,NMC532,2032,0.072982456
LFP,NMC622,2032,0.084210526
LFP,NMC811,2032,0.143157895
LFP,NMC900,2032,0.069473684
LFP,NMC900-Si,2032,0.069473684
LFP,LFP,2032,0.465263158
LFP,SIB,2032,0
LFP,ASSB (polymer),2032,0
LFP,ASSB (oxidic),2032,0
LFP,ASSB (sulfidic),2032,0
LFP,LSB,2032,0
LFP,LAB,2032,0
LFP,NCA,2033,0.085023923
LFP,NMC532,2033,0.064162679
LFP,NMC622,2033,0.076411483
LFP,NMC811,2033,0.140717703
LFP,NMC900,2033,0.075789474
LFP,NMC900-Si,2033,0.075789474
LFP,LFP,2033,0.482105263
LFP,SIB,2033,0
LFP,ASSB (polymer),2033,0
LFP,ASSB (oxidic),2033,0
LFP,ASSB (sulfidic),2033,0
LFP,LSB,2033,0
LFP,LAB,2033,0
LFP,NCA,2034,0.07460925
LFP,NMC532,2034,0.055342903
LFP,NMC622,2034,0.06861244
LFP,NMC811,2034,0.138277512
LFP,NMC900,2034,0.082105263
LFP,NMC900-Si,2034,0.082105263
LFP,LFP,2034,0.498947368
LFP,SIB,2034,0
LFP,ASSB (polymer),2034,0
LFP,ASSB (oxidic),2034,0
LFP,ASSB (sulfidic),2034,0
LFP,LSB,2034,0
LFP,LAB,2034,0
LFP,NCA,2035,0.064194577
LFP,NMC532,2035,0.046523126
LFP,NMC622,2035,0.060813397
LFP,NMC811,2035,0.135837321
LFP,NMC900,2035,0.088421053
LFP,NMC900-Si,2035,0.088421053
LFP,LFP,2035,0.515789474
LFP,SIB,2035,0
LFP,ASSB (polymer),2035,0
LFP,ASSB (oxidic),2035,0
LFP,ASSB (sulfidic),2035,0
LFP,LSB,2035,0
LFP,LAB,2035,0
LFP,NCA,2036,0.053779904
LFP,NMC532,2036,0.037703349
LFP,NMC622,2036,0.053014354
LFP,NMC811,2036,0.133397129
LFP,NMC900,2036,0.094736842
LFP,NMC900-Si,2036,0.094736842
LFP,LFP,2036,0.532631579
LFP,SIB,2036,0
LFP,ASSB (polymer),2036,0
LFP,ASSB (oxidic),2036,0
LFP,ASSB (sulfidic),2036,0
LFP,LSB,2036,0
LFP,LAB,2036,0
LFP,NCA,2037,0.043365231
LFP,NMC532,2037,0.028883573
LFP,NMC622,2037,0.045215311
LFP,NMC811,2037,0.130956938
LFP,NMC900,2037,0.101052632
LFP,NMC900-Si,2037,0.101052632
LFP,LFP,2037,0.549473684
LFP,SIB,2037,0
LFP,ASSB (polymer),2037,0
LFP,ASSB (oxidic),2037,0
LFP,ASSB (sulfidic),2037,0
LFP,LSB,2037,0
LFP,LAB,2037,0
LFP,NCA,2038,0.032950558
LFP,NMC532,2038,0.020063796
LFP,NMC622,2038,0.037416268
LFP,NMC811,2038,0.128516746
LFP,NMC900,2038,0.107368421
LFP,NMC900-Si,2038,0.107368421
LFP,LFP,2038,0.566315789
LFP,SIB,2038,0
LFP,ASSB (polymer),2038,0
LFP,ASSB (oxidic),2038,0
LFP,ASSB (sulfidic),2038,0
LFP,LSB,2038,0
LFP,LAB,2038,0
LFP,NCA,2039,0.022535885
LFP,NMC532,2039,0.011244019
LFP,NMC622,2039,0.029617225
LFP,NMC811,2039,0.126076555
LFP,NMC900,2039,0.113684211
LFP,NMC900-Si,2039,0.113684211
LFP,LFP,2039,0.583157895
LFP,SIB,2039,0
LFP,ASSB (polymer),2039,0
LFP,ASSB (oxidic),2039,0
LFP,ASSB (sulfidic),2039,0
LFP,LSB,2039,0
LFP,LAB,2039,0
LFP,NCA,2040,0.012121212
LFP,NMC532,2040,0.002424242
LFP,NMC622,2040,0.021818182
LFP,NMC811,2040,0.123636364
LFP,NMC900,2040,0.12
LFP,NMC900-Si,2040,0.12
LFP,LFP,2040,0.6
LFP,SIB,2040,0
LFP,ASSB (polymer),2040,0
LFP,ASSB (oxidic),2040,0
LFP,ASSB (sulfidic),2040,0
LFP,LSB,2040,0
LFP,LAB,2040,0
NCX,NCA,2010,0.1
NCX,NMC111,2010,0.3
NCX,NMC532,2010,0.38
NCX,NMC622,2010,0
NCX,NMC811,2010,0
NCX,NMC900,2010,0
NCX,NMC900-Si,2010,0
NCX,LFP,2010,0.22
NCX,SIB,2010,0
NCX,ASSB (polymer),2010,0
NCX,ASSB (oxidic),2010,0
NCX,ASSB (sulfidic),2010,0
NCX,LSB,2010,0
NCX,LAB,2010,0
NCX,NCA,2015,0.2
NCX,NMC111,2015,0.2
NCX,NMC532,2015,0.25
NCX,NMC622,2015,0.11
NCX,NMC811,2015,0.03
NCX,NMC900,2015,0
NCX,NMC900-Si,2015,0
NCX,LFP,2015,0.21
