component,powertrain,size,euro_class,value
Benzene,BEV,9m,1,0
Ethane,ICEV-d,9m,1,0
Propane,ICEV-d,9m,1,0
Butane,ICEV-d,9m,1,0
Pentane,ICEV-d,9m,1,0
Hexane,ICEV-d,9m,1,0
Cyclohexane,ICEV-d,9m,1,0
Heptane,ICEV-d,9m,1,0
Ethene,ICEV-d,9m,1,0
Propene,ICEV-d,9m,1,0
1-Pentene,ICEV-d,9m,1,0
Toluene,ICEV-d,9m,1,0
m-Xylene,ICEV-d,9m,1,0
o-Xylene,ICEV-d,9m,1,0
Formaldehyde,ICEV-d,9m,1,0
Acetaldehyde,ICEV-d,9m,1,0
Benzaldehyde,ICEV-d,9m,1,0
Acetone,ICEV-d,9m,1,0
Methyl ethyl ketone,ICEV-d,9m,1,0
Acrolein,ICEV-d,9m,1,0
Styrene,ICEV-d,9m,1,0
PAH polycyclic aromatic hydrocarbons,ICEV-d,9m,1,0
Arsenic,ICEV-d,9m,1,0
Selenium,ICEV-d,9m,1,0
Zinc,ICEV-d,9m,1,0
Copper,ICEV-d,9m,1,0
Nickel,ICEV-d,9m,1,0
Chromium,ICEV-d,9m,1,0
Chromium VI,ICEV-d,9m,1,0
Mercury,ICEV-d,9m,1,0
Cadmium,ICEV-d,9m,1,0
Hydrocarbon,ICEV-g,9m,2,0.319218382
Hydrocarbon,ICEV-g,9m,3,0.263082593
Hydrocarbon,ICEV-g,9m,4,0.050247575
Hydrocarbon,ICEV-g,9m,5,0.024576179
Hydrocarbon,ICEV-g,9m,6,0.012032441
Hydrocarbon,ICEV-g,13m-city-double,2,0.425562602
Hydrocarbon,ICEV-g,13m-city-double,3,0.359162045
Hydrocarbon,ICEV-g,13m-city-double,4,0.058805866
Hydrocarbon,ICEV-g,13m-city-double,5,0.024576181
Hydrocarbon,ICEV-g,13m-city-double,6,0.012032441
Carbon monoxide,ICEV-g,9m,2,0.206866872
Carbon monoxide,ICEV-g,9m,3,0.211065975
Carbon monoxide,ICEV-g,9m,4,0.10464252
Carbon monoxide,ICEV-g,9m,5,0.052087488
Carbon monoxide,ICEV-g,9m,6,0.045409837
Carbon monoxide,ICEV-g,13m-city-double,2,0.173170226
Carbon monoxide,ICEV-g,13m-city-double,3,0.193363755
Carbon monoxide,ICEV-g,13m-city-double,4,0.108101542
Carbon monoxide,ICEV-g,13m-city-double,5,0.052087485
Carbon monoxide,ICEV-g,13m-city-double,6,0.045409837
Nitrogen oxides,ICEV-g,9m,2,0.905252423
Nitrogen oxides,ICEV-g,9m,3,0.762339809
Nitrogen oxides,ICEV-g,9m,4,0.647724785
Nitrogen oxides,ICEV-g,9m,5,0.094725025
Nitrogen oxides,ICEV-g,9m,6,0.030144677
Nitrogen oxides,ICEV-g,13m-city-double,2,0.942984564
Nitrogen oxides,ICEV-g,13m-city-double,3,0.770671513
Nitrogen oxides,ICEV-g,13m-city-double,4,0.630859682
Nitrogen oxides,ICEV-g,13m-city-double,5,0.094725032
Nitrogen oxides,ICEV-g,13m-city-double,6,0.030144679
Nitrogen dioxide,ICEV-g,9m,2,0.226313106
Nitrogen dioxide,ICEV-g,9m,3,0.190584952
Nitrogen dioxide,ICEV-g,9m,4,0.161931196
Nitrogen dioxide,ICEV-g,9m,5,0.023681256
Nitrogen dioxide,ICEV-g,9m,6,0.007536169
Nitrogen dioxide,ICEV-g,13m-city-double,2,0.235746141
Nitrogen dioxide,ICEV-g,13m-city-double,3,0.192667878
Nitrogen dioxide,ICEV-g,13m-city-double,4,0.15771492
Nitrogen dioxide,ICEV-g,13m-city-double,5,0.023681258
Nitrogen dioxide,ICEV-g,13m-city-double,6,0.00753617
Methane,ICEV-g,9m,2,0.29368092
Methane,ICEV-g,9m,3,0.242036001
Methane,ICEV-g,9m,4,0.046227773
Methane,ICEV-g,9m,5,0.022610087
Methane,ICEV-g,9m,6,0.011069845
Methane,ICEV-g,13m-city-double,2,0.391517607
Methane,ICEV-g,13m-city-double,3,0.330429099
Methane,ICEV-g,13m-city-double,4,0.054101399
Methane,ICEV-g,13m-city-double,5,0.022610086
Methane,ICEV-g,13m-city-double,6,0.011069846
Non-methane hydrocarbon,ICEV-g,9m,2,0.02553747
Non-methane hydrocarbon,ICEV-g,9m,3,0.021046608
Non-methane hydrocarbon,ICEV-g,9m,4,0.004019806
Non-methane hydrocarbon,ICEV-g,9m,5,0.001966094
Non-methane hydrocarbon,ICEV-g,9m,6,0.000962595
Non-methane hydrocarbon,ICEV-g,13m-city-double,2,0.034045007
Non-methane hydrocarbon,ICEV-g,13m-city-double,3,0.028732964
Non-methane hydrocarbon,ICEV-g,13m-city-double,4,0.004704469
Non-methane hydrocarbon,ICEV-g,13m-city-double,5,0.001966094
Non-methane hydrocarbon,ICEV-g,13m-city-double,6,0.000962595
Lead,ICEV-g,9m,2,0
Lead,ICEV-g,9m,3,0
Lead,ICEV-g,9m,4,0
Lead,ICEV-g,9m,5,0
Lead,ICEV-g,9m,6,0
Lead,ICEV-g,13m-city-double,2,0
Lead,ICEV-g,13m-city-double,3,0
Lead,ICEV-g,13m-city-double,4,0
Lead,ICEV-g,13m-city-double,5,0
Lead,ICEV-g,13m-city-double,6,0
Benzene,ICEV-g,9m,2,0
Benzene,ICEV-g,9m,3,0
Benzene,ICEV-g,9m,4,0
Benzene,ICEV-g,9m,5,0
Benzene,ICEV-g,9m,6,0
Benzene,ICEV-g,13m-city-double,2,0
Benzene,ICEV-g,13m-city-double,3,0
Benzene,ICEV-g,13m-city-double,4,0
Benzene,ICEV-g,13m-city-double,5,0
Benzene,ICEV-g,13m-city-double,6,0
Particulate matters 2.5,ICEV-g,9m,2,0.001940835
Particulate matters 2.5,ICEV-g,9m,3,0.001367893
Particulate matters 2.5,ICEV-g,9m,4,0.000354762
Particulate matters 2.5,ICEV-g,9m,5,0.000406425
Particulate matters 2.5,ICEV-g,9m,6,0.000406425
Particulate matters 2.5,ICEV-g,13m-city-double,2,0.001664703
Particulate matters 2.5,ICEV-g,13m-city-double,3,0.001475071
Particulate matters 2.5,ICEV-g,13m-city-double,4,0.000376194
Particulate matters 2.5,ICEV-g,13m-city-double,5,0.000406425
Particulate matters 2.5,ICEV-g,13m-city-double,6,0.000406425
Hydrocarbon,ICEV-d,9m,0,0.050119494
Hydrocarbon,ICEV-d,9m,0,0.050119494
Hydrocarbon,ICEV-d,9m,0,0.050119494
Hydrocarbon,ICEV-d,9m,0,0.050119494
Hydrocarbon,ICEV-d,13m-city-double,0,0.033061946
Hydrocarbon,ICEV-d,13m-city-double,0,0.033061946
Hydrocarbon,ICEV-d,13m-city-double,0,0.033061946
Hydrocarbon,ICEV-d,13m-city-double,0,0.033061946
Carbon monoxide,ICEV-d,9m,0,0.123453401
Carbon monoxide,ICEV-d,9m,0,0.123453401
Carbon monoxide,ICEV-d,9m,0,0.123453401
Carbon monoxide,ICEV-d,9m,0,0.123453401
Carbon monoxide,ICEV-d,13m-city-double,0,0.096552333
Carbon monoxide,ICEV-d,13m-city-double,0,0.096552333
Carbon monoxide,ICEV-d,13m-city-double,0,0.096552333
Carbon monoxide,ICEV-d,13m-city-double,0,0.096552333
Nitrogen oxides,ICEV-d,9m,0,0.231275009
Nitrogen oxides,ICEV-d,9m,0,0.231275009
Nitrogen oxides,ICEV-d,9m,0,0.231275009
Nitrogen oxides,ICEV-d,9m,0,0.231275009
Nitrogen oxides,ICEV-d,13m-city-double,0,0.297023716
Nitrogen oxides,ICEV-d,13m-city-double,0,0.297023716
Nitrogen oxides,ICEV-d,13m-city-double,0,0.297023716
Nitrogen oxides,ICEV-d,13m-city-double,0,0.297023716
Nitrogen dioxide,ICEV-d,9m,0,0.016189252
Nitrogen dioxide,ICEV-d,9m,0,0.016189252
Nitrogen dioxide,ICEV-d,9m,0,0.016189252
Nitrogen dioxide,ICEV-d,9m,0,0.016189252
Nitrogen dioxide,ICEV-d,13m-city-double,0,0.020791661
Nitrogen dioxide,ICEV-d,13m-city-double,0,0.020791661
Nitrogen dioxide,ICEV-d,13m-city-double,0,0.020791661
Nitrogen dioxide,ICEV-d,13m-city-double,0,0.020791661
Methane,ICEV-d,9m,0,0.001202868
Methane,ICEV-d,9m,0,0.001202868
Methane,ICEV-d,9m,0,0.001202868
Methane,ICEV-d,9m,0,0.001202868
Methane,ICEV-d,13m-city-double,0,0.000793487
Methane,ICEV-d,13m-city-double,0,0.000793487
Methane,ICEV-d,13m-city-double,0,0.000793487
Methane,ICEV-d,13m-city-double,0,0.000793487
Non-methane hydrocarbon,ICEV-d,9m,0,0.048916625
Non-methane hydrocarbon,ICEV-d,9m,0,0.048916625
Non-methane hydrocarbon,ICEV-d,9m,0,0.048916625
Non-methane hydrocarbon,ICEV-d,9m,0,0.048916625
Non-methane hydrocarbon,ICEV-d,13m-city-double,0,0.032268459
Non-methane hydrocarbon,ICEV-d,13m-city-double,0,0.032268459
Non-methane hydrocarbon,ICEV-d,13m-city-double,0,0.032268459
Non-methane hydrocarbon,ICEV-d,13m-city-double,0,0.032268459
Lead,ICEV-d,9m,0,0
Lead,ICEV-d,9m,0,0
Lead,ICEV-d,9m,0,0
Lead,ICEV-d,9m,0,0
Lead,ICEV-d,13m-city-double,0,0
Lead,ICEV-d,13m-city-double,0,0
Lead,ICEV-d,13m-city-double,0,0
Lead,ICEV-d,13m-city-double,0,0
Dinitrogen oxide,ICEV-d,9m,0,0.000287059
Dinitrogen oxide,ICEV-d,9m,0,0.000287059
Dinitrogen oxide,ICEV-d,9m,0,0.000287059
Dinitrogen oxide,ICEV-d,9m,0,0.000287059
Dinitrogen oxide,ICEV-d,13m-city-double,0,0.000202381
Dinitrogen oxide,ICEV-d,13m-city-double,0,0.000202381
Dinitrogen oxide,ICEV-d,13m-city-double,0,0.000202381
Dinitrogen oxide,ICEV-d,13m-city-double,0,0.000202381
Ammonia,ICEV-d,9m,0,4.78E-05
Ammonia,ICEV-d,9m,0,4.78E-05
Ammonia,ICEV-d,9m,0,4.78E-05
Ammonia,ICEV-d,9m,0,4.78E-05
Ammonia,ICEV-d,13m-city-double,0,3.37E-05
Ammonia,ICEV-d,13m-city-double,0,3.37E-05
Ammonia,ICEV-d,13m-city-double,0,3.37E-05
Ammonia,ICEV-d,13m-city-double,0,3.37E-05
Benzene,ICEV-d,9m,0,0.000836996
Benzene,ICEV-d,9m,0,0.000836996
Benzene,ICEV-d,9m,0,0.000836996
Benzene,ICEV-d,9m,0,0.000836996
Benzene,ICEV-d,13m-city-double,0,0.000552135
Benzene,ICEV-d,13m-city-double,0,0.000552135
Benzene,ICEV-d,13m-city-double,0,0.000552135
Benzene,ICEV-d,13m-city-double,0,0.000552135
Particulate matters 2.5,ICEV-d,9m,0,0.018981233
Particulate matters 2.5,ICEV-d,9m,0,0.018981233
Particulate matters 2.5,ICEV-d,9m,0,0.018981233
Particulate matters 2.5,ICEV-d,9m,0,0.018981233
Particulate matters 2.5,ICEV-d,13m-city-double,0,0.013948896
Particulate matters 2.5,ICEV-d,13m-city-double,0,0.013948896
Particulate matters 2.5,ICEV-d,13m-city-double,0,0.013948896
Particulate matters 2.5,ICEV-d,13m-city-double,0,0.013948896
Hydrocarbon,ICEV-d,9m,1,0.021230525
Hydrocarbon,ICEV-d,9m,1,0.007006073
Hydrocarbon,ICEV-d,13m-city-double,1,0.02875761
Hydrocarbon,ICEV-d,13m-city-double,1,0.009490012
Carbon monoxide,ICEV-d,9m,1,0.106495208
Carbon monoxide,ICEV-d,9m,1,0.035143419
Carbon monoxide,ICEV-d,13m-city-double,1,0.094663117
Carbon monoxide,ICEV-d,13m-city-double,1,0.03123883
Nitrogen oxides,ICEV-d,9m,1,0.352808356
Nitrogen oxides,ICEV-d,9m,1,0.352808356
Nitrogen oxides,ICEV-d,13m-city-double,1,0.364909367
Nitrogen oxides,ICEV-d,13m-city-double,1,0.364909367
Nitrogen dioxide,ICEV-d,9m,1,0.024696586
Nitrogen dioxide,ICEV-d,9m,1,0.088202089
Nitrogen dioxide,ICEV-d,13m-city-double,1,0.025543655
Nitrogen dioxide,ICEV-d,13m-city-double,1,0.091227342
Methane,ICEV-d,9m,1,0.000509533
Methane,ICEV-d,9m,1,0.000168146
Methane,ICEV-d,13m-city-double,1,0.000690183
Methane,ICEV-d,13m-city-double,1,0.00022776
Non-methane hydrocarbon,ICEV-d,9m,1,0.020720993
Non-methane hydrocarbon,ICEV-d,9m,1,0.006837928
Non-methane hydrocarbon,ICEV-d,13m-city-double,1,0.028067428
Non-methane hydrocarbon,ICEV-d,13m-city-double,1,0.009262251
Lead,ICEV-d,9m,1,0
Lead,ICEV-d,9m,1,0
Lead,ICEV-d,13m-city-double,1,0
Lead,ICEV-d,13m-city-double,1,0
Dinitrogen oxide,ICEV-d,9m,1,0.00059101
Dinitrogen oxide,ICEV-d,9m,1,0.00059101
Dinitrogen oxide,ICEV-d,13m-city-double,1,0.000415811
Dinitrogen oxide,ICEV-d,13m-city-double,1,0.000415811
Ammonia,ICEV-d,9m,1,0.000142827
Ammonia,ICEV-d,9m,1,0.000142827
Ammonia,ICEV-d,13m-city-double,1,0.000100488
Ammonia,ICEV-d,13m-city-double,1,0.000100488
Benzene,ICEV-d,9m,1,0.00035455
Benzene,ICEV-d,9m,1,0.000117001
Benzene,ICEV-d,13m-city-double,1,0.000480252
Benzene,ICEV-d,13m-city-double,1,0.000158483
Particulate matters 2.5,ICEV-d,9m,1,0.0177441
Particulate matters 2.5,ICEV-d,9m,1,0.004613466
Particulate matters 2.5,ICEV-d,13m-city-double,1,0.018344536
Particulate matters 2.5,ICEV-d,13m-city-double,1,0.004769579
Hydrocarbon,ICEV-d,9m,2,0.013708943
Hydrocarbon,ICEV-d,9m,2,0.004523951
Hydrocarbon,ICEV-d,13m-city-double,2,0.018275932
Hydrocarbon,ICEV-d,13m-city-double,2,0.006031058
Carbon monoxide,ICEV-d,9m,2,0.092567261
Carbon monoxide,ICEV-d,9m,2,0.030547196
Carbon monoxide,ICEV-d,13m-city-double,2,0.077488936
Carbon monoxide,ICEV-d,13m-city-double,2,0.025571351
Nitrogen oxides,ICEV-d,9m,2,0.37661469
Nitrogen oxides,ICEV-d,9m,2,0.37661469
Nitrogen oxides,ICEV-d,13m-city-double,2,0.392312521
Nitrogen oxides,ICEV-d,13m-city-double,2,0.392312521
Nitrogen dioxide,ICEV-d,9m,2,0.026363028
Nitrogen dioxide,ICEV-d,9m,2,0.094153673
Nitrogen dioxide,ICEV-d,13m-city-double,2,0.027461876
Nitrogen dioxide,ICEV-d,13m-city-double,2,0.09807813
Methane,ICEV-d,9m,2,0.000329015
Methane,ICEV-d,9m,2,0.000108575
Methane,ICEV-d,13m-city-double,2,0.000438622
Methane,ICEV-d,13m-city-double,2,0.000144745
Non-methane hydrocarbon,ICEV-d,9m,2,0.013379928
Non-methane hydrocarbon,ICEV-d,9m,2,0.004415376
Non-methane hydrocarbon,ICEV-d,13m-city-double,2,0.017837311
Non-methane hydrocarbon,ICEV-d,13m-city-double,2,0.005886312
Lead,ICEV-d,9m,2,0
Lead,ICEV-d,9m,2,0
Lead,ICEV-d,13m-city-double,2,0
Lead,ICEV-d,13m-city-double,2,0
Dinitrogen oxide,ICEV-d,9m,2,0.00040429
Dinitrogen oxide,ICEV-d,9m,2,0.00040429
Dinitrogen oxide,ICEV-d,13m-city-double,2,0.000282326
Dinitrogen oxide,ICEV-d,13m-city-double,2,0.000282326
Ammonia,ICEV-d,9m,2,0.000150501
Ammonia,ICEV-d,9m,2,0.000150501
Ammonia,ICEV-d,13m-city-double,2,0.000105099
Ammonia,ICEV-d,13m-city-double,2,0.000105099
Benzene,ICEV-d,9m,2,0.000228939
Benzene,ICEV-d,9m,2,7.56E-05
Benzene,ICEV-d,13m-city-double,2,0.000305208
Benzene,ICEV-d,13m-city-double,2,0.000100719
Particulate matters 2.5,ICEV-d,9m,2,0.010247204
Particulate matters 2.5,ICEV-d,9m,2,0.002664273
Particulate matters 2.5,ICEV-d,13m-city-double,2,0.008789285
Particulate matters 2.5,ICEV-d,13m-city-double,2,0.002285214
Hydrocarbon,ICEV-d,9m,3,0.011652271
Hydrocarbon,ICEV-d,9m,3,0.00384525
Hydrocarbon,ICEV-d,13m-city-double,3,0.015907756
Hydrocarbon,ICEV-d,13m-city-double,3,0.00524956
Carbon monoxide,ICEV-d,9m,3,0.095124091
Carbon monoxide,ICEV-d,9m,3,0.031390952
Carbon monoxide,ICEV-d,13m-city-double,3,0.087145982
Carbon monoxide,ICEV-d,13m-city-double,3,0.028758176
Nitrogen oxides,ICEV-d,9m,3,0.318308773
Nitrogen oxides,ICEV-d,9m,3,0.318308773
Nitrogen oxides,ICEV-d,13m-city-double,3,0.321787638
Nitrogen oxides,ICEV-d,13m-city-double,3,0.321787638
Nitrogen dioxide,ICEV-d,9m,3,0.022281614
Nitrogen dioxide,ICEV-d,9m,3,0.095492633
Nitrogen dioxide,ICEV-d,13m-city-double,3,0.022525133
Nitrogen dioxide,ICEV-d,13m-city-double,3,0.096536291
Methane,ICEV-d,9m,3,0.000279655
Methane,ICEV-d,9m,3,9.23E-05
Methane,ICEV-d,13m-city-double,3,0.000381786
Methane,ICEV-d,13m-city-double,3,0.000125989
Non-methane hydrocarbon,ICEV-d,9m,3,0.011372617
Non-methane hydrocarbon,ICEV-d,9m,3,0.003752964
Non-methane hydrocarbon,ICEV-d,13m-city-double,3,0.01552597
Non-methane hydrocarbon,ICEV-d,13m-city-double,3,0.005123571
Lead,ICEV-d,9m,3,0
Lead,ICEV-d,9m,3,0
Lead,ICEV-d,13m-city-double,3,0
Lead,ICEV-d,13m-city-double,3,0
Dinitrogen oxide,ICEV-d,9m,3,0.000253557
Dinitrogen oxide,ICEV-d,9m,3,0.000253557
Dinitrogen oxide,ICEV-d,13m-city-double,3,0.000178576
Dinitrogen oxide,ICEV-d,13m-city-double,3,0.000178576
Ammonia,ICEV-d,9m,3,0.000145963
Ammonia,ICEV-d,9m,3,0.000145963
Ammonia,ICEV-d,13m-city-double,3,0.0001028
Ammonia,ICEV-d,13m-city-double,3,0.0001028
Benzene,ICEV-d,9m,3,0.000194593
Benzene,ICEV-d,9m,3,6.42E-05
Benzene,ICEV-d,13m-city-double,3,0.00026566
Benzene,ICEV-d,13m-city-double,3,8.77E-05
Particulate matters 2.5,ICEV-d,9m,3,0.007429126
Particulate matters 2.5,ICEV-d,9m,3,0.001931572
Particulate matters 2.5,ICEV-d,13m-city-double,3,0.008011221
Particulate matters 2.5,ICEV-d,13m-city-double,3,0.002082917
Hydrocarbon,ICEV-d,9m,4,0.000769566
Hydrocarbon,ICEV-d,9m,4,0.000317987
Hydrocarbon,ICEV-d,9m,4,0.000317987
Hydrocarbon,ICEV-d,9m,4,3.85E-05
Hydrocarbon,ICEV-d,9m,4,1.59E-05
Hydrocarbon,ICEV-d,9m,4,1.59E-05
Hydrocarbon,ICEV-d,13m-city-double,4,0.00090019
Hydrocarbon,ICEV-d,13m-city-double,4,0.000390541
Hydrocarbon,ICEV-d,13m-city-double,4,0.000390541
Hydrocarbon,ICEV-d,13m-city-double,4,4.50E-05
Hydrocarbon,ICEV-d,13m-city-double,4,1.95E-05
Hydrocarbon,ICEV-d,13m-city-double,4,1.95E-05
Carbon monoxide,ICEV-d,9m,4,0.016026505
Carbon monoxide,ICEV-d,9m,4,0.044752812
Carbon monoxide,ICEV-d,9m,4,0.044752812
Carbon monoxide,ICEV-d,9m,4,0.002724506
Carbon monoxide,ICEV-d,9m,4,0.007607978
Carbon monoxide,ICEV-d,9m,4,0.007607978
Carbon monoxide,ICEV-d,13m-city-double,4,0.01654799
Carbon monoxide,ICEV-d,13m-city-double,4,0.044141488
Carbon monoxide,ICEV-d,13m-city-double,4,0.044141488
Carbon monoxide,ICEV-d,13m-city-double,4,0.002813158
Carbon monoxide,ICEV-d,13m-city-double,4,0.007504053
Carbon monoxide,ICEV-d,13m-city-double,4,0.007504053
Nitrogen oxides,ICEV-d,9m,4,0.091571231
Nitrogen oxides,ICEV-d,9m,4,0.061479912
Nitrogen oxides,ICEV-d,9m,4,0.126523929
Nitrogen oxides,ICEV-d,9m,4,0.091571231
Nitrogen oxides,ICEV-d,9m,4,0.061479912
Nitrogen oxides,ICEV-d,9m,4,0.126523929
Nitrogen oxides,ICEV-d,13m-city-double,4,0.089142351
Nitrogen oxides,ICEV-d,13m-city-double,4,0.072442377
Nitrogen oxides,ICEV-d,13m-city-double,4,0.129505554
Nitrogen oxides,ICEV-d,13m-city-double,4,0.089142351
Nitrogen oxides,ICEV-d,13m-city-double,4,0.072442377
Nitrogen oxides,ICEV-d,13m-city-double,4,0.129505554
Nitrogen dioxide,ICEV-d,9m,4,0.019229958
Nitrogen dioxide,ICEV-d,9m,4,0.004303594
Nitrogen dioxide,ICEV-d,9m,4,0.008856675
Nitrogen dioxide,ICEV-d,9m,4,0.022892808
Nitrogen dioxide,ICEV-d,9m,4,0.015369978
Nitrogen dioxide,ICEV-d,9m,4,0.031630982
Nitrogen dioxide,ICEV-d,13m-city-double,4,0.018719893
Nitrogen dioxide,ICEV-d,13m-city-double,4,0.005070966
Nitrogen dioxide,ICEV-d,13m-city-double,4,0.009065388
Nitrogen dioxide,ICEV-d,13m-city-double,4,0.022285588
