powertrain,euro_class,component,size,value
diesel,5,Nitrogen dioxide,40t,0.043439586
diesel,5,Nitrogen oxides,40t,0.352902499
diesel,5,Lead,40t,0
diesel,5,Particulate,40t,0.003120677
diesel,5,Benzene,60t,6.2007E-05
diesel,5,Methane,60t,8.91119E-05
diesel,5,Carbon monoxide,60t,0.110316253
diesel,5,Hydrocarbon,60t,0.003712994
diesel,5,Dinitrogen monoxide,60t,0.002533172
diesel,5,Ammonia,60t,0.000459478
diesel,5,NMVOC,60t,0.003623882
diesel,5,Nitrogen dioxide,60t,0.043745028
diesel,5,Nitrogen oxides,60t,0.354283249
diesel,5,Lead,60t,0
diesel,5,Particulate,60t,0.003096562
diesel,5,Benzene,7.5t,6.38548E-05
diesel,5,Methane,7.5t,9.17674E-05
diesel,5,Carbon monoxide,7.5t,0.106025344
diesel,5,Hydrocarbon,7.5t,0.00382364
diesel,5,Dinitrogen monoxide,7.5t,0.004307557
diesel,5,Ammonia,7.5t,0.001291782
diesel,5,NMVOC,7.5t,0.003731872
diesel,5,Nitrogen dioxide,7.5t,0.039311876
diesel,5,Nitrogen oxides,7.5t,0.32900227
diesel,5,Lead,7.5t,0
diesel,5,Particulate,7.5t,0.003495909
compressed gas,5,Benzene,3.5t,0
compressed gas,5,Methane,3.5t,0.022610088
compressed gas,5,Carbon monoxide,3.5t,0.052087487
compressed gas,5,Hydrocarbon,3.5t,0.024576181
compressed gas,5,NMVOC,3.5t,0.001966094
compressed gas,5,Nitrogen dioxide,3.5t,0.023681259
compressed gas,5,Nitrogen oxides,3.5t,0.094725037
compressed gas,5,Lead,3.5t,0
compressed gas,5,Particulate,3.5t,0.000406425
diesel,6,Benzene,3.5t,2.02051E-05
diesel,6,Methane,3.5t,2.90373E-05
diesel,6,Carbon monoxide,3.5t,0.012226801
diesel,6,Hydrocarbon,3.5t,0.001209888
diesel,6,Dinitrogen monoxide,3.5t,0.002233729
diesel,6,Ammonia,3.5t,0.000922017
diesel,6,NMVOC,3.5t,0.001180851
diesel,6,Nitrogen dioxide,3.5t,0.044354288
diesel,6,Nitrogen oxides,3.5t,0.158408178
diesel,6,Lead,3.5t,0
diesel,6,Particulate,3.5t,0.000602185
diesel,6,Benzene,18t,2.31276E-05
diesel,6,Methane,18t,3.32373E-05
diesel,6,Carbon monoxide,18t,0.015201498
diesel,6,Hydrocarbon,18t,0.001384887
diesel,6,Dinitrogen monoxide,18t,0.00296173
diesel,6,Ammonia,18t,0.000837742
diesel,6,NMVOC,18t,0.00135165
diesel,6,Nitrogen dioxide,18t,0.041348384
diesel,6,Nitrogen oxides,18t,0.147672791
diesel,6,Lead,18t,0
diesel,6,Particulate,18t,0.000803979
diesel,6,Benzene,26t,2.19065E-05
diesel,6,Methane,26t,3.14824E-05
diesel,6,Carbon monoxide,26t,0.013458719
diesel,6,Hydrocarbon,26t,0.001311766
diesel,6,Dinitrogen monoxide,26t,0.002124266
diesel,6,Ammonia,26t,0.000810293
diesel,6,NMVOC,26t,0.001280284
diesel,6,Nitrogen dioxide,26t,0.04536891
diesel,6,Nitrogen oxides,26t,0.162031825
diesel,6,Lead,26t,0
diesel,6,Particulate,26t,0.001412802
diesel,6,Benzene,32t,2.22174E-05
diesel,6,Methane,32t,3.19293E-05
diesel,6,Carbon monoxide,32t,0.012852466
diesel,6,Hydrocarbon,32t,0.001330386
diesel,6,Dinitrogen monoxide,32t,0.00318885
diesel,6,Ammonia,32t,0.00078999
diesel,6,NMVOC,32t,0.001298457
diesel,6,Nitrogen dioxide,32t,0.042732512
diesel,6,Nitrogen oxides,32t,0.15261611
diesel,6,Lead,32t,0
diesel,6,Particulate,32t,0.000641224
diesel,6,Benzene,40t,2.28577E-05
diesel,6,Methane,40t,3.28494E-05
diesel,6,Carbon monoxide,40t,0.012617528
diesel,6,Hydrocarbon,40t,0.001368727
diesel,6,Dinitrogen monoxide,40t,0.002708662
diesel,6,Ammonia,40t,0.000946766
diesel,6,NMVOC,40t,0.001335877
diesel,6,Nitrogen dioxide,40t,0.044016904
diesel,6,Nitrogen oxides,40t,0.157203227
diesel,6,Lead,40t,0
diesel,6,Particulate,40t,0.000655881
diesel,6,Benzene,60t,2.23823E-05
diesel,6,Methane,60t,3.21662E-05
diesel,6,Carbon monoxide,60t,0.012270925
diesel,6,Hydrocarbon,60t,0.001340258
diesel,6,Dinitrogen monoxide,60t,0.002169527
diesel,6,Ammonia,60t,0.000715563
diesel,6,NMVOC,60t,0.001308092
diesel,6,Nitrogen dioxide,60t,0.045504045
diesel,6,Nitrogen oxides,60t,0.162514443
diesel,6,Lead,60t,0
diesel,6,Particulate,60t,0.000635626
diesel,6,Benzene,7.5t,2.19637E-05
diesel,6,Methane,7.5t,3.15645E-05
diesel,6,Carbon monoxide,7.5t,0.012949494
diesel,6,Hydrocarbon,7.5t,0.001315189
diesel,6,Dinitrogen monoxide,7.5t,0.003696408
diesel,6,Ammonia,7.5t,0.000939007
diesel,6,NMVOC,7.5t,0.001283625
diesel,6,Nitrogen dioxide,7.5t,0.042103441
diesel,6,Nitrogen oxides,7.5t,0.15036943
diesel,6,Lead,7.5t,0
diesel,6,Particulate,7.5t,0.001344127
compressed gas,6,Benzene,3.5t,0
compressed gas,6,Methane,3.5t,0.011069846
compressed gas,6,Carbon monoxide,3.5t,0.045409835
compressed gas,6,Hydrocarbon,3.5t,0.012032441
compressed gas,6,NMVOC,3.5t,0.000962595
compressed gas,6,Nitrogen dioxide,3.5t,0.00753617
compressed gas,6,Nitrogen oxides,3.5t,0.030144679
compressed gas,6,Lead,3.5t,0
compressed gas,6,Particulate,3.5t,0.000406425
diesel,6.1,Benzene,3.5t,3.13026E-05
diesel,6.1,Methane,3.5t,4.49858E-05
diesel,6.1,Carbon monoxide,3.5t,0.006437665
diesel,6.1,Hydrocarbon,3.5t,0.001874408
diesel,6.1,Dinitrogen monoxide,3.5t,0.00232627
diesel,6.1,Ammonia,3.5t,0.000960215
diesel,6.1,NMVOC,3.5t,0.001829422
diesel,6.1,Nitrogen dioxide,3.5t,0.049243132
diesel,6.1,Nitrogen oxides,3.5t,0.175868338
diesel,6.1,Lead,3.5t,0
diesel,6.1,Particulate,3.5t,0.000190935
diesel,6.1,Benzene,18t,3.68107E-05
diesel,6.1,Methane,18t,5.29016E-05
diesel,6.1,Carbon monoxide,18t,0.010012942
diesel,6.1,Hydrocarbon,18t,0.002204235
diesel,6.1,Dinitrogen monoxide,18t,0.003009196
diesel,6.1,Ammonia,18t,0.000851168
diesel,6.1,NMVOC,18t,0.002151333
diesel,6.1,Nitrogen dioxide,18t,0.048082987
diesel,6.1,Nitrogen oxides,18t,0.171724951
diesel,6.1,Lead,18t,0
diesel,6.1,Particulate,18t,0.000209781
diesel,6.1,Benzene,26t,3.96987E-05
diesel,6.1,Methane,26t,5.70521E-05
diesel,6.1,Carbon monoxide,26t,0.002914299
diesel,6.1,Hydrocarbon,26t,0.00237717
diesel,6.1,Dinitrogen monoxide,26t,0.002129633
diesel,6.1,Ammonia,26t,0.00081234
diesel,6.1,NMVOC,26t,0.002320118
diesel,6.1,Nitrogen dioxide,26t,0.047933991
diesel,6.1,Nitrogen oxides,26t,0.171192828
diesel,6.1,Lead,26t,0
diesel,6.1,Particulate,26t,0.000226341
diesel,6.1,Benzene,32t,3.17818E-05
diesel,6.1,Methane,32t,4.56744E-05
diesel,6.1,Carbon monoxide,32t,0.00613751
diesel,6.1,Hydrocarbon,32t,0.001903102
diesel,6.1,Dinitrogen monoxide,32t,0.003221954
diesel,6.1,Ammonia,32t,0.000798191
diesel,6.1,NMVOC,32t,0.001857428
diesel,6.1,Nitrogen dioxide,32t,0.047775928
diesel,6.1,Nitrogen oxides,32t,0.170628315
diesel,6.1,Lead,32t,0
diesel,6.1,Particulate,32t,0.000205526
diesel,6.1,Benzene,40t,3.35577E-05
diesel,6.1,Methane,40t,4.82266E-05
diesel,6.1,Carbon monoxide,40t,0.004109642
diesel,6.1,Hydrocarbon,40t,0.00200944
diesel,6.1,Dinitrogen monoxide,40t,0.002729423
diesel,6.1,Ammonia,40t,0.000954022
diesel,6.1,NMVOC,40t,0.001961214
diesel,6.1,Nitrogen dioxide,40t,0.050466081
diesel,6.1,Nitrogen oxides,40t,0.180236002
diesel,6.1,Lead,40t,0
diesel,6.1,Particulate,40t,0.000210927
diesel,6.1,Benzene,60t,3.29682E-05
diesel,6.1,Methane,60t,4.73794E-05
diesel,6.1,Carbon monoxide,60t,0.004006778
diesel,6.1,Hydrocarbon,60t,0.001974143
diesel,6.1,Dinitrogen monoxide,60t,0.002183316
diesel,6.1,Ammonia,60t,0.000720111
diesel,6.1,NMVOC,60t,0.001926763
diesel,6.1,Nitrogen dioxide,60t,0.052042815
diesel,6.1,Nitrogen oxides,60t,0.185867191
diesel,6.1,Lead,60t,0
diesel,6.1,Particulate,60t,0.000213184
diesel,6.1,Benzene,7.5t,3.2375E-05
diesel,6.1,Methane,7.5t,4.65269E-05
diesel,6.1,Carbon monoxide,7.5t,0.005352255
diesel,6.1,Hydrocarbon,7.5t,0.00193862
diesel,6.1,Dinitrogen monoxide,7.5t,0.003762394
diesel,6.1,Ammonia,7.5t,0.000955769
diesel,6.1,NMVOC,7.5t,0.001892093
diesel,6.1,Nitrogen dioxide,7.5t,0.044305771
diesel,6.1,Nitrogen oxides,7.5t,0.158234892
diesel,6.1,Lead,7.5t,0
diesel,6.1,Particulate,7.5t,0.000209234
compressed gas,4,Benzene,18t,0
compressed gas,4,Methane,18t,0.047311339
compressed gas,4,Carbon monoxide,18t,0.090414776
compressed gas,4,Hydrocarbon,18t,0.05142537
compressed gas,4,NMVOC,18t,0.004114029
compressed gas,4,Nitrogen dioxide,18t,0.15346441
compressed gas,4,Nitrogen oxides,18t,0.613857641
compressed gas,4,Lead,18t,0
compressed gas,4,Particulate,18t,0.000353135
compressed gas,5,Benzene,18t,0
compressed gas,5,Methane,18t,0.022610088
compressed gas,5,Carbon monoxide,18t,0.052087487
compressed gas,5,Hydrocarbon,18t,0.024576181
compressed gas,5,NMVOC,18t,0.001966094
compressed gas,5,Nitrogen dioxide,18t,0.023681259
compressed gas,5,Nitrogen oxides,18t,0.094725037
compressed gas,5,Lead,18t,0
compressed gas,5,Particulate,18t,0.000406425
compressed gas,6,Benzene,18t,0
compressed gas,6,Methane,18t,0.011069846
compressed gas,6,Carbon monoxide,18t,0.045409835
compressed gas,6,Hydrocarbon,18t,0.012032441
compressed gas,6,NMVOC,18t,0.000962595
compressed gas,6,Nitrogen dioxide,18t,0.00753617
compressed gas,6,Nitrogen oxides,18t,0.030144679
compressed gas,6,Lead,18t,0
compressed gas,6,Particulate,18t,0.000406425
compressed gas,4,Benzene,26t,0
compressed gas,4,Methane,26t,0.047311339
compressed gas,4,Carbon monoxide,26t,0.090414776
compressed gas,4,Hydrocarbon,26t,0.05142537
compressed gas,4,NMVOC,26t,0.004114029
compressed gas,4,Nitrogen dioxide,26t,0.15346441
compressed gas,4,Nitrogen oxides,26t,0.613857641
compressed gas,4,Lead,26t,0
compressed gas,4,Particulate,26t,0.000353135
compressed gas,5,Benzene,26t,0
compressed gas,5,Methane,26t,0.022610088
compressed gas,5,Carbon monoxide,26t,0.052087487
compressed gas,5,Hydrocarbon,26t,0.024576181
compressed gas,5,NMVOC,26t,0.001966094
compressed gas,5,Nitrogen dioxide,26t,0.023681259
compressed gas,5,Nitrogen oxides,26t,0.094725037
compressed gas,5,Lead,26t,0
compressed gas,5,Particulate,26t,0.000406425
compressed gas,6,Benzene,26t,0
compressed gas,6,Methane,26t,0.011069846
compressed gas,6,Carbon monoxide,26t,0.045409835
compressed gas,6,Hydrocarbon,26t,0.012032441
compressed gas,6,NMVOC,26t,0.000962595
compressed gas,6,Nitrogen dioxide,26t,0.00753617
compressed gas,6,Nitrogen oxides,26t,0.030144679
compressed gas,6,Lead,26t,0
compressed gas,6,Particulate,26t,0.000406425
compressed gas,4,Benzene,32t,0
compressed gas,4,Methane,32t,0.047311339
compressed gas,4,Carbon monoxide,32t,0.090414776
compressed gas,4,Hydrocarbon,32t,0.05142537
compressed gas,4,NMVOC,32t,0.004114029
compressed gas,4,Nitrogen dioxide,32t,0.15346441
compressed gas,4,Nitrogen oxides,32t,0.613857641
compressed gas,4,Lead,32t,0
compressed gas,4,Particulate,32t,0.000353135
compressed gas,5,Benzene,32t,0
compressed gas,5,Methane,32t,0.022610088
compressed gas,5,Carbon monoxide,32t,0.052087487
compressed gas,5,Hydrocarbon,32t,0.024576181
compressed gas,5,NMVOC,32t,0.001966094
compressed gas,5,Nitrogen dioxide,32t,0.023681259
compressed gas,5,Nitrogen oxides,32t,0.094725037
compressed gas,5,Lead,32t,0
compressed gas,5,Particulate,32t,0.000406425
compressed gas,6,Benzene,32t,0
compressed gas,6,Methane,32t,0.011069846
compressed gas,6,Carbon monoxide,32t,0.045409835
compressed gas,6,Hydrocarbon,32t,0.012032441
compressed gas,6,NMVOC,32t,0.000962595
compressed gas,6,Nitrogen dioxide,32t,0.00753617
compressed gas,6,Nitrogen oxides,32t,0.030144679
compressed gas,6,Lead,32t,0
compressed gas,6,Particulate,32t,0.000406425
compressed gas,4,Benzene,40t,0
compressed gas,4,Methane,40t,0.047311339
compressed gas,4,Carbon monoxide,40t,0.090414776
compressed gas,4,Hydrocarbon,40t,0.05142537
compressed gas,4,NMVOC,40t,0.004114029
compressed gas,4,Nitrogen dioxide,40t,0.15346441
compressed gas,4,Nitrogen oxides,40t,0.613857641
compressed gas,4,Lead,40t,0
compressed gas,4,Particulate,40t,0.000353135
compressed gas,5,Benzene,40t,0
compressed gas,5,Methane,40t,0.022610088
compressed gas,5,Carbon monoxide,40t,0.052087487
compressed gas,5,Hydrocarbon,40t,0.024576181
compressed gas,5,NMVOC,40t,0.001966094
compressed gas,5,Nitrogen dioxide,40t,0.023681259
compressed gas,5,Nitrogen oxides,40t,0.094725037
compressed gas,5,Lead,40t,0
compressed gas,5,Particulate,40t,0.000406425
compressed gas,6,Benzene,40t,0
compressed gas,6,Methane,40t,0.011069846
compressed gas,6,Carbon monoxide,40t,0.045409835
compressed gas,6,Hydrocarbon,40t,0.012032441
compressed gas,6,NMVOC,40t,0.000962595
compressed gas,6,Nitrogen dioxide,40t,0.00753617
compressed gas,6,Nitrogen oxides,40t,0.030144679
compressed gas,6,Lead,40t,0
compressed gas,6,Particulate,40t,0.000406425
compressed gas,4,Benzene,60t,0
compressed gas,4,Methane,60t,0.047311339
compressed gas,4,Carbon monoxide,60t,0.090414776
compressed gas,4,Hydrocarbon,60t,0.05142537
compressed gas,4,NMVOC,60t,0.004114029
compressed gas,4,Nitrogen dioxide,60t,0.15346441
compressed gas,4,Nitrogen oxides,60t,0.613857641
compressed gas,4,Lead,60t,0
compressed gas,4,Particulate,60t,0.000353135
compressed gas,5,Benzene,60t,0
compressed gas,5,Methane,60t,0.022610088
compressed gas,5,Carbon monoxide,60t,0.052087487
compressed gas,5,Hydrocarbon,60t,0.024576181
compressed gas,5,NMVOC,60t,0.001966094
compressed gas,5,Nitrogen dioxide,60t,0.023681259
compressed gas,5,Nitrogen oxides,60t,0.094725037
compressed gas,5,Lead,60t,0
compressed gas,5,Particulate,60t,0.000406425
compressed gas,6,Benzene,60t,0
compressed gas,6,Methane,60t,0.011069846
compressed gas,6,Carbon monoxide,60t,0.045409835
compressed gas,6,Hydrocarbon,60t,0.012032441
compressed gas,6,NMVOC,60t,0.000962595
compressed gas,6,Nitrogen dioxide,60t,0.00753617
compressed gas,6,Nitrogen oxides,60t,0.030144679
compressed gas,6,Lead,60t,0
compressed gas,6,Particulate,60t,0.000406425
compressed gas,4,Benzene,7.5t,0
compressed gas,4,Methane,7.5t,0.047311339
compressed gas,4,Carbon monoxide,7.5t,0.090414776
compressed gas,4,Hydrocarbon,7.5t,0.05142537
compressed gas,4,NMVOC,7.5t,0.004114029
compressed gas,4,Nitrogen dioxide,7.5t,0.15346441
compressed gas,4,Nitrogen oxides,7.5t,0.613857641
compressed gas,4,Lead,7.5t,0
compressed gas,4,Particulate,7.5t,0.000353135
compressed gas,5,Benzene,7.5t,0
compressed gas,5,Methane,7.5t,0.022610088
compressed gas,5,Carbon monoxide,7.5t,0.052087487
compressed gas,5,Hydrocarbon,7.5t,0.024576181
compressed gas,5,NMVOC,7.5t,0.001966094
compressed gas,5,Nitrogen dioxide,7.5t,0.023681259
compressed gas,5,Nitrogen oxides,7.5t,0.094725037
compressed gas,5,Lead,7.5t,0
compressed gas,5,Particulate,7.5t,0.000406425
compressed gas,6,Benzene,7.5t,0
compressed gas,6,Methane,7.5t,0.011069846
compressed gas,6,Carbon monoxide,7.5t,0.045409835
compressed gas,6,Hydrocarbon,7.5t,0.012032441
compressed gas,6,NMVOC,7.5t,0.000962595
compressed gas,6,Nitrogen dioxide,7.5t,0.00753617
compressed gas,6,Nitrogen oxides,7.5t,0.030144679
compressed gas,6,Lead,7.5t,0
compressed gas,6,Particulate,7.5t,0.000406425