country,fuel oil,liquefied petroleum gas,kerosene,diesel,gasoline
AL,83.248,7300.96236,42.9984,26794.00646,4517.49733
DZ,244277.4122,321683.8476,60078.2019,42144.29437,39286.39447
AO,30888.84087,4483.8088,12669.67016,105147.699,48374.67751
AR,32274.09809,44627.1707,32383.62981,125097.1142,13532.85548
AM,8.840416667,1064.457611,9.50085,6198.254544,7016.1771
AU,5258.67189,61715.51954,5879.79285,668753.7741,195206.1725
AT,13929.77625,296.61719,24155.85227,159284.8298,7505.59808
AZ,357.19978,1331.69422,17571.11281,44203.9861,4795.55988
BH,94951.2607,10550.05403,128124.4476,158914.2036,196.2241444
BD,105505.7351,0,2309.181111,141603.5231,5088.479022
BY,189364.4446,15195.33327,14860.78567,177168.3339,99933.77742
BE,223777.2001,55731.75921,72052.66049,115830.2524,144852.8402
BJ,1226.059278,932.9032444,1597.959398,31341.38648,45290.7546
BO,0,4111.8414,2573.874389,41202.29228,11471.15792
BA,1357.70599,3210.14431,14.50665714,37112.86786,4181.01678
BW,450.0214556,680.3531444,437.7286968,20282.86049,18593.94629
BR,394277.2082,89046.22728,53557.67046,375409.8022,82849.26589
BN,2410.5323,15256.69713,4674.688733,19301.23547,6154.813244
BG,35752.94371,16507.45378,8065.76044,12773.84265,49977.88016
KH,5301.154033,11228.85479,1572.219189,57195.27841,24904.69507
CM,1225.554511,3929.956567,1657.760138,17253.49112,12437.77932
CA,86568.86299,3234.83724,77300.89422,251851.306,123110.6777
CL,13989.69231,44505.19957,4005.368551,234469.3009,23967.45802
CN,289066.7948,741961.5751,693014.1801,558089.3441,486430.5748
CO,96783.07992,468.33376,46184.53888,38899.65385,66456.73308
CD,12213.67992,0,747.2836,5355.723867,4126.598
CR,6521.65819,7794.84564,640.7794457,42416.10027,39428.42158
CI,19838.44934,13325.19858,22908.39904,12704.11424,13092.78513
HR,12694.86995,4214.00374,4641.88756,23531.07497,12234.64018
CU,41166.00484,4788.147767,2701.322422,30714.86628,4757.243589
CY,31562.49491,2581.66252,532.5238644,26923.39156,14554.56196
CZ,3104.00015,2847.40082,3708.39946,59094.72006,4316.39989
KP,13497.60496,0,39.26381111,2443.333222,613.0624222
CD,707.4352111,0,89.59238889,21353.28478,14757.48332
DK,49227.21163,2419.73343,2798.51199,10587.62924,31953.47757
DO,51106.73293,44068.85886,7023.9706,44708.46701,38786.84968
EC,98621.5031,45056.46684,8868.617944,120316.541,91022.61833
EG,24597.08248,104065.8382,66446.9569,240210.4143,99205.57799
SV,17179.92997,13482.60223,55.04855,28054.67637,27331.64347
GQ,0,25432.43703,949.7983444,6413.254178,2833.9635
ER,2204.4293,261.3489,404.1625111,4004.970056,393.0898222
EE,337.5026,891.1118,45.32631111,28224.13991,10229.99948
ET,2790.661756,326.4596778,6897.0031,99468.7114,19574.68746
FI,19800.00021,35893.79981,5347.95684,64364.33958,104491.2002
FR,106231.3201,103270.9615,51393.92375,905131.8618,78710.35076
GA,13516.46321,1835.481489,1626.348033,8812.705089,1089.197422
GE,591.2152222,1110.34731,32.06377,23742.9865,22552.73661
DE,85124.0004,36961.00005,164403.3612,377090.9397,137442.7996
GH,8880.682188,10930.29407,847.7069778,75430.04288,56082.63212
GI,1922.851314,0,0,4805.393656,1706.035867
GR,126553.2522,9504.69458,85218.04852,268093.1186,142341.7027
GT,14048.47153,18427.56054,751.5796986,53617.20144,66158.93298
GY,8183.103856,924.3040111,526.1658556,15436.33432,7174.762389
HT,4235.1194,949.8784,3303.084222,21866.92326,11554.61201
HN,34975.14789,7421.963622,1355.647233,37952.70981,28260.36271
HK,1621.425517,17068.92536,4369.4343,110062.9659,20225.72182
HU,396.0001,13735.59916,8440.959364,13840.7406,8469.99981
IS,2128.17136,122.89848,372.37563,14290.10188,5258.80125
IN,52106.54353,547423.9223,406643.5301,1209726.947,609439.2891
ID,138062.6566,238725.7387,24382.26756,234630.3784,598996.0608
IR,629075.7072,129728.2436,23394.84049,84794.93848,138355.0971
IQ,120937.4346,1146.3477,2650.779389,62912.8218,104979.0631
IE,32262.43619,4764.13294,27224.47358,100645.3029,13438.79651
IL,85324.8705,3591.18205,38116.43962,105634.8137,1069.80109
IT,186589.3525,94355.74244,54343.87144,198255.6543,329525.5389
JM,17544.5221,3869.403344,2734.312078,9312.227533,13119.60482
JP,174671.9114,508544.902,276032.2305,291056.0825,43034.32148
JO,11839.08274,16601.08302,10266.13246,53381.45298,35775.10767
KZ,90998.57586,89247.99338,12670.10436,1647.671889,29281.31619
KE,13998.88168,10255.16468,12971.12695,97324.65481,54513.63488
KR,194658.0974,319121.4087,760947.6682,1088694.887,428160.5887
KW,142584.9514,244529.1227,309089.8043,317683.0308,9526.6652
KG,857.04842,1684.586889,247.7701889,22220.67064,26226.26132
LA,396.1768778,629.9803556,130.4085889,29631.26149,7644.987
LV,98.2448125,3787.55722,68.49347222,41871.02455,7858.00857
LB,64616.81498,10943.9156,0,147472.517,85067.06093
LY,21176.5148,2084.316522,16447.96289,99564.49652,162108.4812
LT,56636.8,6043.48,10021.07467,90856.854,99735.68
LU,54.136,423.499,34.202,74556.646,13234.738
MG,6226.861111,574.3944444,1348.778889,20185.8,4859.142222
MY,44455.23778,9367.287778,104400.9867,18882.93667,289328.32
MT,5925.68,1062.968,62.48833333,7467.843,3368.071
MU,10945.93889,3499.48,174.6136111,8781.151111,7327.606667
MX,223058.295,251664.38,71125.31,378533.219,891166.08
MD,501.8011111,3232.861,44.54,24146.275,7534.384
MN,110.7733333,0,212.5444444,35666.21,20716.01778
ME,152,798.1,0,9999.072,1564.2
MA,36640.483,121925.467,9549.435,222807.439,25550.041
MZ,2833.56125,1156.184444,1641.344444,39648.38222,12496.48111
MM,204.455,1057.13,3350.807778,127570.9744,55673.68111
NA,712.5344444,1223.398889,308.3166667,33448.78778,14173.00444
NP,1445.175,17193.12556,1304.470694,48700.91556,14832.89
NL,307373.42,63779.851,297062.904,597013.183,556757.608
NZ,12702.319,503.726,28101.042,50298.809,49887.045
NI,8637.363333,4763.436667,730.0944444,15198.63444,9540.63
NE,264.9133333,294.79125,109.3744444,7519.448889,2708.16
NG,2115.462222,17275.7225,42809.65778,153713.4856,591121.7589
MK,4111.224,3266.198,213.0328571,25183.415,4273.614
NO,293.024,246977.303,9125.6315,63038.972,127138.475
OM,70716.57889,20993.71667,39323.35444,38572.40556,15195.94625
PK,144516.7978,15096.62,48298.18708,159683.5611,208333.47
PA,14635.89111,8739.068889,1367.09,51464.56111,36945.59889
PY,834.8155556,3906.828889,51.46233333,62900.74111,26407.44889
PE,61155.95667,10369.06889,14082.60333,101542.2,61124.15889
PH,24139.53667,51869.86889,10841.55,210790.2967,93375.35
PL,86869.976,88029.68,44715.019,123846.29,3582.41
PT,77888.796,29912.751,40323.359,27609.504,58951.608
QA,29893.46111,396392.7778,148737.68,174582.28,1252.677778
RO,5090.415,4168.613333,17715.27722,1459.868,79924.108
RU,2288889.92,171905.3989,326307.0227,2022801.842,192863.9578
RW,1448.017778,900.6355556,317.9422222,6562.683333,4009.827778
SA,7831.284444,564484.4856,370030.1633,755907.9889,24011.39556
SN,24496.79,6778.59,112.5166667,16274.01778,5285.355556
RS,585.457,3953.188,5538.041667,10935.396,2564.583
SG,108875.3367,5037.954444,469480.2364,297698.2722,358423.8044
SK,10475.96,56.069,3285.2,45488.365,33089.549
SI,149.44,3823.217,33.76688889,68495.56,17710.946
ZA,83071.13556,2316.675556,55854.24048,105691.0667,27005.19667
SS,0,135.0733333,428.3,17562.07667,2290.151111
ES,114476.48,23698.781,93365.388,109760.02,163813.954
LK,3347.254444,15655.08,3280.632222,66191.48667,47519.75778
SD,13026.46111,5734.561111,1844.602222,45635.04444,4779.29
SR,8447.342222,1054.323333,21.59333333,4317.93,5333.331111
SE,144994.684,23857.169,219.866,135397.458,87106.188
CH,13018.128,2322.481,1889.174,151278.772,68186.879
SY,155.9377778,12877.46222,5478.138889,5082.005556,14440.73333
TJ,608.4444444,16508.37778,53.75,9959.17,8778.977778
TZ,6430.467778,6249.638889,3650.4,67992.35333,38415.12444
TH,185112.1822,40274.45556,215333.7822,171997.1833,35883.03778
TG,3166.143333,535.2311111,1689.116667,6129.537778,6408.808889
TT,62411.65667,23661.12667,11314.92333,18905.52556,39316.62889
TN,4645.821,19709.744,209.4372222,62874.949,25757.921
TR,23933.536,139583.559,140708.156,467069.306,108324.625
TM,30497.77778,0,13876.66333,28892.26667,55562.76556
UG,1255.317778,1019.756667,2126.120556,33885.68,27826.45111
UA,621.3333333,48294.37778,14.16666667,225429.3444,59705.11556
AE,117993.0578,449761.0633,467683.7422,249381.6489,156316.7278
GB,124576.068,5088.713,90952.682,345852.659,278535.013
US,618836,1344862,1016852,3962000,8940000
UY,75.92444444,1901.786667,3054.692667,6006.292222,2793.258889
UZ,2580.582222,113.3225,6310.242222,3485.716667,1592.595556
VE,315886.6978,2840.57125,63549.05222,31591.65333,28333.98444
VN,10402.93667,52436.23,10259.94333,192155.9333,82052.84111
YE,12648.98333,1016.95,5044.88,36944.05111,35773.33778
ZM,522.1283333,15.32875,645.6466667,19607.50556,9811.94
ZW,0,1443.774444,2393.626032,31775.53222,16091.07444