model;product;variable
remind;Biomass IGCC CCS;Tech|Electricity|Biomass|IGCCC|w/ CCS|Efficiency
remind;Biomass CHP;Tech|Electricity|Biomass|CHP|w/o CCS|Efficiency
remind;Biomass IGCC;Tech|Electricity|Biomass|IGCC|w/o CCS|Efficiency
remind;Coal IGCC;Tech|Electricity|Coal|IGCC|w/o CCS|Efficiency
remind;Coal IGCC CCS;Tech|Electricity|Coal|IGCCC|w/ CCS|Efficiency
remind;Coal PC;Tech|Electricity|Coal|PC|w/o CCS|Efficiency
remind;Coal PC CCS;Tech|Electricity|Coal|PCC|w/ CCS|Efficiency
remind;Coal CHP;Tech|Electricity|Coal|CHP|w/o CCS|Efficiency
remind;Gas OC;Tech|Electricity|Gas|GT|Efficiency
remind;Gas CC;Tech|Electricity|Gas|CC|w/o CCS|Efficiency
remind;Gas CHP;Tech|Electricity|Gas|CHP|w/o CCS|Efficiency
remind;Gas CC CCS;Tech|Electricity|Gas|CCC|w/ CCS|Efficiency
remind;Oil ST;Tech|Electricity|Oil|DOT|Efficiency
image;Biomass CHP;Efficiency|Electricity|Biomass|w/o CCS|3
image;Biomass CHP CCS;Efficiency|Electricity|Biomass|w/ CCS|2
image;Biomass IGCC CCS;Efficiency|Electricity|Biomass|w/ CCS|1
image;Biomass IGCC;Efficiency|Electricity|Biomass|w/o CCS|2
image;Biomass ST;Efficiency|Electricity|Biomass|w/o CCS|1
image;Coal PC;Efficiency|Electricity|Coal|w/o CCS|1
image;Coal IGCC;Efficiency|Electricity|Coal|w/o CCS|2
image;Coal IGCC CCS;Efficiency|Electricity|Coal|w/ CCS|1
image;Coal CHP;Efficiency|Electricity|Coal|w/o CCS|3
image;Coal CHP CCS;Efficiency|Electricity|Coal|w/ CCS|2
image;Gas OC;Efficiency|Electricity|Gas|w/o CCS|1
image;Gas CC;Efficiency|Electricity|Gas|w/o CCS|2
image;Gas CC CCS;Efficiency|Electricity|Gas|w/ CCS|1
image;Gas CHP;Efficiency|Electricity|Gas|w/o CCS|3
image;Gas CHP CCS;Efficiency|Electricity|Gas|w/ CCS|2
image;Nuclear;Efficiency|Electricity|Nuclear
image;Oil CC CCS;Efficiency|Electricity|Oil|w/ CCS|1
image;Oil CHP CCS;Efficiency|Electricity|Oil|w/ CCS|2
image;Oil ST;Efficiency|Electricity|Oil|w/o CCS|1
image;Oil CC;Efficiency|Electricity|Oil|w/o CCS|2
image;Oil CHP;Efficiency|Electricity|Oil|w/o CCS|3
remind;primary steel;Production|Industry|Steel|Primary
remind;secondary steel;Production|Industry|Steel|Secondary
image;primary steel;Production|Steel
image;secondary steel;Production|Steel
remind;cement;Production|Industry|Cement
image;cement;Production|Cement
remind;diesel;SE|Liquids|Oil
remind;petrol;SE|Liquids|Oil
remind;bioethanol, woody;SE|Liquids|Biomass|Cellulosic|w/o CCS
remind;bioethanol, grassy;SE|Liquids|Biomass|Non-Cellulosic
remind;bioethanol, sugar;SE|Liquids|Biomass|Conventional Ethanol
remind;biodiesel, oil;SE|Liquids|Biomass|Biofuel|Biodiesel|w/o CCS
remind;petrol, synthetic, hydrogen;SE|Liquids|Hydrogen
remind;petrol, synthetic, coal;SE|Liquids|Coal|w/o CCS
remind;diesel, synthetic, hydrogen;SE|Liquids|Hydrogen
remind;diesel, synthetic, coal;SE|Liquids|Coal|w/o CCS
remind;diesel, synthetic, wood;SE|Liquids|Biomass|Biofuel|BioFTR|w/o CCS
remind;diesel, synthetic, wood, with CCS;SE|Liquids|Biomass|Biofuel|BioFTRC|w/ CCS
remind;natural gas;SE|Gases|Non-Biomass
remind;biomethane;SE|Gases|Biomass
remind;hydrogen, electrolysis;SE|Hydrogen|Electricity
remind;hydrogen, biogas;SE|Hydrogen|Biomass|w/o CCS
remind;hydrogen, biogas, with CCS;SE|Hydrogen|Biomass|w/ CCS
remind;hydrogen, nat. gas;SE|Hydrogen|Gas|w/o CCS
remind;hydrogen, nat. gas, with CCS;SE|Hydrogen|Gas|w/ CCS
remind;hydrogen, coal;SE|Hydrogen|Coal|w/o CCS
image;diesel;Secondary Energy|Consumption|Liquids|Fossil
image;petrol;Secondary Energy|Consumption|Liquids|Fossil
image;bioethanol, woody;Secondary Energy|Consumption|Liquids|Biomass|Ethanol|Woody
image;bioethanol, grassy;Secondary Energy|Consumption|Liquids|Biomass|Ethanol|Grassy
image;bioethanol, grain;Secondary Energy|Consumption|Liquids|Biomass|Ethanol|Maize
image;bioethanol, sugar;Secondary Energy|Consumption|Liquids|Biomass|Ethanol|Sugar
image;biodiesel, oil;Secondary Energy|Consumption|Liquids|Biomass|Biodiesel|Oilcrops
image;diesel, synthetic, wood;Secondary Energy|Consumption|Liquids|Biomass|FT Diesel|Woody|w/oCCS
image;diesel, synthetic, wood, with CCS;Secondary Energy|Consumption|Liquids|Biomass|FT Diesel|Woody|w/CCS
image;diesel, synthetic, grass;Secondary Energy|Consumption|Liquids|Biomass|FT Diesel|Grassy|w/oCCS
image;diesel, synthetic, grass, with CCS;Secondary Energy|Consumption|Liquids|Biomass|FT Diesel|Grassy|w/CCS
image;methanol, wood;Secondary Energy|Consumption|Liquids|Biomass|Methanol|Woody
image;methanol, grass;Secondary Energy|Consumption|Liquids|Biomass|Methanol|Grassy