region;type;year;share;world_share
GLO;BOF;2015;0.75;0.75
GLO;BOF;2016;0.75;0.75
GLO;BOF;2017;0.73;0.73
GLO;BOF;2018;0.71;0.71
GLO;BOF;2019;0.72;0.72
GLO;BOF;2020;0.71;0.71
GLO;BOF;2030;0.6;0.6
GLO;BOF;2040;0.49;0.49
GLO;BOF;2050;0.39;0.39
GLO;EF;2015;0.25;0.25
GLO;EF;2016;0.25;0.25
GLO;EF;2017;0.27;0.27
GLO;EF;2018;0.29;0.29
GLO;EF;2019;0.28;0.28
GLO;EF;2020;0.29;0.29
GLO;EF;2030;0.4;0.4
GLO;EF;2040;0.51;0.51
GLO;EF;2050;0.61;0.61
CN;BOF;2015;0.94;0.47
CN;BOF;2016;0.94;0.47
CN;BOF;2017;0.91;0.46
CN;BOF;2018;0.87;0.45
CN;BOF;2019;0.9;0.48
CN;BOF;2020;0.88;0.47
CN;BOF;2030;0.73;0.39
CN;BOF;2040;0.57;0.30
CN;BOF;2050;0.42;0.22
CN;EF;2015;0.06;0.03
CN;EF;2016;0.06;0.03
CN;EF;2017;0.09;0.05
CN;EF;2018;0.13;0.07
CN;EF;2019;0.1;0.05
CN;EF;2020;0.12;0.06
CN;EF;2030;0.27;0.14
CN;EF;2040;0.43;0.23
CN;EF;2050;0.58;0.31
IN;BOF;2015;0.438;0.02
IN;BOF;2016;0.438;0.03
IN;BOF;2017;0.438;0.03
IN;BOF;2018;0.438;0.03
IN;BOF;2019;0.438;0.03
IN;BOF;2020;0.438;0.03
IN;BOF;2030;0.438;0.03
IN;BOF;2040;0.438;0.03
IN;BOF;2050;0.438;0.03
IN;EF;2015;0.562;0.03
IN;EF;2016;0.562;0.03
IN;EF;2017;0.562;0.03
IN;EF;2018;0.562;0.03
IN;EF;2019;0.562;0.03
IN;EF;2020;0.562;0.03
IN;EF;2030;0.562;0.03
IN;EF;2040;0.562;0.03
IN;EF;2050;0.562;0.03
RER;BOF;2015;0.61;0.06
RER;BOF;2016;0.61;0.06
RER;BOF;2017;0.6;0.06
RER;BOF;2018;0.59;0.06
RER;BOF;2019;0.6;0.05
RER;BOF;2020;0.59;0.05
RER;BOF;2030;0.55;0.05
RER;BOF;2040;0.51;0.04
RER;BOF;2050;0.47;0.04
RER;EF;2015;0.39;0.04
RER;EF;2016;0.4;0.04
RER;EF;2017;0.4;0.04
RER;EF;2018;0.42;0.04
RER;EF;2019;0.4;0.03
RER;EF;2020;0.41;0.03
RER;EF;2030;0.45;0.04
RER;EF;2040;0.49;0.04
RER;EF;2050;0.53;0.05
US;BOF;2015;0.37;0.02
US;BOF;2016;0.33;0.02
US;BOF;2017;0.32;0.02
US;BOF;2018;0.32;0.02
US;BOF;2019;0.3;0.01
US;BOF;2020;0.28;0.01
US;BOF;2030;0.14;0.01
US;BOF;2040;0.05;0.00
US;BOF;2050;0.05;0.00
US;EF;2015;0.63;0.03
US;EF;2016;0.67;0.03
US;EF;2017;0.68;0.03
US;EF;2018;0.68;0.03
US;EF;2019;0.7;0.03
US;EF;2020;0.71;0.03
US;EF;2030;0.86;0.04
US;EF;2040;0.95;0.04
US;EF;2050;0.95;0.04
JP;BOF;2015;0.77;0.05
JP;BOF;2016;0.78;0.05
JP;BOF;2017;0.76;0.05
JP;BOF;2018;0.75;0.04
JP;BOF;2019;0.76;0.04
JP;BOF;2020;0.75;0.04
JP;BOF;2030;0.69;0.04
JP;BOF;2040;0.63;0.03
JP;BOF;2050;0.57;0.03
JP;EF;2015;0.23;0.02
JP;EF;2016;0.22;0.01
JP;EF;2017;0.24;0.01
JP;EF;2018;0.25;0.01
JP;EF;2019;0.25;0.01
JP;EF;2020;0.25;0.01
JP;EF;2030;0.31;0.02
JP;EF;2040;0.37;0.02
JP;EF;2050;0.43;0.02
RU;BOF;2015;0.67;0.03
RU;BOF;2016;0.68;0.03
RU;BOF;2017;0.67;0.03
RU;BOF;2018;0.66;0.03
RU;BOF;2019;0.64;0.02
RU;BOF;2020;0.63;0.02
RU;BOF;2030;0.57;0.02
RU;BOF;2040;0.5;0.02
RU;BOF;2050;0.43;0.02
RU;EF;2015;0.31;0.01
RU;EF;2016;0.29;0.01
RU;EF;2017;0.31;0.01
RU;EF;2018;0.3;0.01
RU;EF;2019;0.34;0.01
RU;EF;2020;0.37;0.01
RU;EF;2030;0.43;0.02
RU;EF;2040;0.5;0.02
RU;EF;2050;0.57;0.02
KR;BOF;2015;0.77;0.03
KR;BOF;2016;0.69;0.03
KR;BOF;2017;0.67;0.03
KR;BOF;2018;0.67;0.03
KR;BOF;2019;0.68;0.03
KR;BOF;2020;0.66;0.03
KR;BOF;2030;0.46;0.02
KR;BOF;2040;0.25;0.01
KR;BOF;2050;0.05;0.00
KR;EF;2015;0.23;0.01
KR;EF;2016;0.31;0.01
KR;EF;2017;0.33;0.01
KR;EF;2018;0.33;0.01
KR;EF;2019;0.32;0.01
KR;EF;2020;0.34;0.01
KR;EF;2030;0.54;0.02
KR;EF;2040;0.75;0.03
KR;EF;2050;0.95;0.04
TR;BOF;2015;0.35;0.01
TR;BOF;2016;0.34;0.01
TR;BOF;2017;0.31;0.01
TR;BOF;2018;0.31;0.01
TR;BOF;2019;0.31;0.01
TR;BOF;2020;0.3;0.01
TR;BOF;2030;0.19;0.00
TR;BOF;2040;0.07;0.00
TR;BOF;2050;0.05;0.00
TR;EF;2015;0.65;0.01
TR;EF;2016;0.66;0.01
TR;EF;2017;0.69;0.02
TR;EF;2018;0.69;0.01
TR;EF;2019;0.69;0.01
TR;EF;2020;0.7;0.01
TR;EF;2030;0.81;0.01
TR;EF;2040;0.93;0.02
TR;EF;2050;0.95;0.02